U_ID,MOD_ID,GLAC_ID,MOD_H,GLAC_H,DEBRIS,FRAC_GLAC
734,67454,12,5841.28,5841.28,0,1
735,67455,12,5749.96,5749.96,0,1
736,67456,12,5670.16,5670.16,0,1
737,67457,12,5605.96,5604.82,0,0.88
738,67458,12,5518.84,5518.84,0,1
739,67459,12,5490.48,5487.1,0,0.84
740,67460,12,5419.72,5455,0,0.12
741,67460,17,5419.72,5383.5,0,0.32
742,67461,17,5400.36,5400.36,0,1
743,67462,17,5479.68,5479.68,0,1
744,67463,17,5499.4,5499.4,0,1
745,67464,17,5512.48,5512.48,0,1
746,67465,17,5659.36,5564,0,0.12
747,67662,59,4978.64,4950,0,0.16
748,67663,59,5026.08,5026.08,0,0.96
749,67664,59,5105.12,5105.58,0,0.96
750,67665,59,5196.28,5156.6,0,0.2
751,67681,64,4938.72,4948,0,0.04
752,67682,64,4961.04,4963.33,0,0.12
753,67717,77,5535.36,5525.12,0,0.68
754,67718,77,5493.36,5493.36,0,1
755,67719,77,5491.56,5491.56,0,1
756,67720,77,5508.8,5484.46,0,0.52
757,67722,12,5928.08,5995,0,0.12
758,67723,12,6014.76,6014.76,0,1
759,67724,12,5928,5928,0,1
760,67725,12,5873.08,5873.08,0,1
761,67726,12,5757.8,5757.8,0,1
762,67727,12,5682.4,5682.4,0,1
763,67728,12,5627.48,5627.48,0,1
764,67729,12,5572.76,5570.58,0,0.76
765,67730,12,5534.72,5516,0,0.04
766,67731,17,5486.76,5464.7,0,0.4
767,67732,17,5429.2,5429.2,0,1
768,67733,17,5493.12,5493.12,0,1
769,67734,17,5515.32,5515.32,0,1
770,67735,17,5527.6,5527.6,0,1
771,67736,17,5650.08,5626,0,0.68
772,67933,59,4906.92,4903,0,0.72
773,67934,59,4953.76,4952.57,0,0.92
774,67935,59,5056.48,5028.67,0,0.24
775,67988,77,5561.48,5552.11,0,0.72
776,67989,77,5531.16,5531.16,0,1
777,67990,77,5535.44,5535.44,0,1
778,67991,77,5589.92,5544.7,0,0.4
779,67993,12,6079.8,6081.88,0,0.32
780,67994,12,6058.8,6058.8,0,1
781,67995,12,6022.24,6022.24,0,1
782,67996,12,5929.8,5929.8,0,1
783,67997,12,5782.8,5782.8,0,1
784,67998,12,5686.44,5675,0,0.44
785,67999,12,5650.28,5633.67,0,0.36
786,68000,12,5696.36,5616,0,0.04
787,68002,17,5521.88,5490.4,0,0.4
788,68003,17,5482.88,5482.88,0,1
789,68004,17,5524.08,5524.08,0,1
790,68005,17,5535.52,5535.52,0,1
791,68006,17,5539.88,5539.88,0,1
792,68007,17,5649.36,5634.94,0,0.72
793,68203,59,4838.08,4830.7,0,0.4
794,68204,59,4856.48,4855.1,0,0.8
795,68205,59,4938.8,4873.33,0,0.24
796,68206,61,5206.64,5313,0,0.2
797,68207,61,5315.36,5335.14,0,0.56
798,68259,77,5600.56,5578.31,0,0.52
799,68260,77,5554.68,5554.68,0,1
800,68261,77,5561.36,5561.36,0,1
801,68262,77,5645.96,5568.63,0,0.32
802,68265,12,6214.16,6086,0,0.08
803,68266,12,6094.6,6081.05,0,0.84
804,68267,12,5963.28,5963.28,0,1
805,68268,12,5872,5842.88,0,0.64
806,68269,11,5873.8,5929.67,0,0.12
807,68270,11,5835.76,5899.17,0,0.48
808,68271,11,5853.88,5947,0,0.04
809,68273,17,5538.36,5510.7,0,0.4
810,68274,17,5531.36,5531.36,0,1
811,68275,17,5541.52,5541.52,0,1
812,68276,17,5550,5550,0,1
813,68277,17,5550.44,5550.44,0,1
814,68278,17,5624.4,5591.6,0,0.6
815,68476,61,5055.68,5164,0,0.12
816,68477,61,5229.64,5241.07,0,0.6
817,68478,61,5179.52,5297,0,0.04
818,68530,77,5712.48,5596.5,0,0.16
819,68531,77,5606.64,5604.08,0,0.96
820,68532,77,5619.84,5619.84,0,1
821,68533,77,5783.2,5625.4,0,0.2
822,68540,11,6040.08,6038.11,0,0.36
823,68541,11,6023.56,6013.95,0,0.8
824,68541,17,6023.56,6069.67,0,0.12
